,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENaN N+ NITRITENaNN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
973,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR",RAJASTHAN,32.0,5.0,7.3,390.0,2.8,0.14,4.0,20.0,2011
974,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,21.4,8.3,7.6,334.0,1.0,0.49,9.0,16.0,2011
975,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,22.3,8.2,7.7,316.0,1.2,0.48,11.0,20.0,2011
976,KALA AMB D/S MARKANDA RIVER,HARYANA,18.3,3.1,7.8,1261.0,195.4,4.78,0.0,0.0,2011
977,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,22.8,8.3,7.6,304.0,1.2,0.51,12.0,20.0,2011
978,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,21.8,5.5,7.6,743.0,7.6,1.02,81.0,166.0,2011
979,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,26.9,5.1,7.8,657.0,1.7,0.26,6.0,23.0,2011
980,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,27.3,5.3,7.8,623.0,1.7,1.66,0.0,0.0,2011
981,BARAK RIVER AT SENAPATI ,MANIPUR,19.0,8.7,7.1,252.0,4.9,1.66,0.0,10.0,2011
982,"BARAK RIVER AT N.H. 53, TAMENGLONG DISTT., MANIPUR",MANIPUR,26.0,5.1,7.2,17.0,1.0,1.66,0.0,10.0,2011
983,CHAKPI AT CHAKPI KARONG ,MANIPUR,19.0,10.0,7.4,157.0,0.6,1.66,0.0,5.0,2011
984,"IMPHAL AT MAHABALI, MANIPUR",MANIPUR,21.8,5.9,7.0,164.0,1.6,1.66,0.0,74.0,2011
985,"IMPHAL AT KOIRENGEI, MANIPUR",MANIPUR,22.3,6.1,7.3,141.0,1.4,1.66,0.0,63.0,2011
986,"IMPHAL AT KIYAMGI, MANIPUR",MANIPUR,22.3,5.6,7.1,427.0,1.4,1.66,0.0,175.0,2011
987,IMPHAL AT MINUTHONG,MANIPUR,22.3,4.7,7.0,527.0,1.9,1.66,0.0,42.0,2011
988,"IMPHAL AT KANGLA MOAT, IMPHAL ",MANIPUR,23.0,5.5,8.6,116.0,4.5,1.66,0.0,113.0,2011
989,"IMPHAL AT SAMUROU, IMPHAL WEST",MANIPUR,23.0,6.8,6.8,160.0,1.5,1.66,0.0,23.0,2011
990,"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,23.0,7.0,7.4,47.0,1.0,1.66,0.0,5.0,2011
991,IRANG RIVER AT TAMENGLONG,MANIPUR,23.0,7.3,7.8,116.0,1.2,1.66,0.0,10.0,2011
992,"IRIL AT PORAMPET, MANIPUR",MANIPUR,22.0,5.5,7.3,179.0,1.2,1.66,0.0,75.0,2011
993,"IRIL AT LILONG, MANIPUR",MANIPUR,22.3,4.7,7.4,220.0,1.6,1.66,0.0,140.0,2011
994,"IRIL RIVER AT KANGLA SIPHAI, IMPHAL EAST, MANIPUR",MANIPUR,27.0,4.9,7.0,180.0,1.2,1.66,0.0,10.0,2011
995,IRIL RIVER AT LILONG (THOUBAL ),MANIPUR,30.0,5.8,7.8,367.0,6.2,1.66,0.0,95.0,2011
996,KHUGA RIVER (CHURACHANDPUR),MANIPUR,23.0,5.8,7.4,249.0,1.0,1.66,0.0,37.0,2011
997,"KHUGA DAM ON KHUGA RIVER, CHURACHANDPUR, MANIPUR",MANIPUR,23.0,6.2,6.9,182.0,2.1,1.66,0.0,8.0,2011
998,"KHUJAIROK, MOREH (CHANDEL DIST.)",MANIPUR,22.7,5.5,7.7,356.0,1.2,1.66,0.0,202.0,2011
999,"LOKCHAO RIVER AT BISHNUPUR, MANIPUR",MANIPUR,23.0,5.1,6.9,190.0,2.3,1.66,0.0,33.0,2011
1000,"MAHA RIVER AT CHANDEL, MANIPUR",MANIPUR,23.5,5.2,7.1,164.0,2.8,1.66,0.0,20.0,2011
1001,"MANIPUR RIVER AT SEKMAIJAN, DISTT. THOUBAL, MANIPUR",MANIPUR,23.0,4.6,7.0,188.0,2.8,1.66,0.0,18.0,2011
1002,MANIPUR RIVER AT ETHAI BARRAGE ON MANIPUR RIVER AT BISHNUPUR,MANIPUR,23.5,5.6,6.6,165.0,1.9,1.66,0.0,23.0,2011
1003,NAMBUL RIVER AT HUMP BRIDGE,MANIPUR,23.0,1.9,6.8,484.0,15.3,1.66,0.0,1075.0,2011
1004,"NAMBUL RIVER AT HEIRANGOITHONG, MANIPUR",MANIPUR,23.0,2.5,7.1,424.0,16.7,1.66,0.0,682.0,2011
1005,"NAMBUL RIVER AT SAMUSANG (U.K. ROAD), DISTT. IMPHAL WEST",MANIPUR,22.5,5.5,6.9,118.0,2.8,1.66,0.0,10.0,2011
1006,"NAMBUL RIVER AT SINGDA DAM, IMPHAL WEST, MANIPUR",MANIPUR,23.0,6.0,7.0,100.0,4.2,1.66,0.0,10.0,2011
1007,"NAMBUL RIVER AT NAOREMTHONG, IMPHAL WEST, MANIPUR",MANIPUR,22.5,4.9,6.9,93.0,3.6,1.66,0.0,25.0,2011
1008,"NAMBUL RIVER AT  BISHNUPUR, MANIPUR",MANIPUR,20.0,4.8,7.0,167.1,2.8,1.66,0.0,0.0,2011
1009,"SEKMAI RIVER, KAKCHING (THOUBAL DIST.)",MANIPUR,22.7,5.4,7.2,211.0,1.1,1.66,0.0,78.0,2011
1010,"THOUBAL RIVER AT MAPITHEL DAM, DISTT. THOUBAL, MANIPUR",MANIPUR,26.0,6.0,7.5,231.0,1.1,1.66,0.0,10.0,2011
1011,"THOUBAL RIVER AT PHADOM, DISTT. THOUBAL, MANIPUR",MANIPUR,19.0,5.6,7.1,319.0,4.4,1.66,0.0,15.0,2011
1012,"THOUBAL RIVER AT YAIRIPOK, DISTT. THOUBAL, MANIPUR",MANIPUR,22.5,5.7,6.9,261.0,2.3,1.66,0.0,53.0,2011
1013,"THOUBAL RIVER AT SONGKHONG, (UKL DIST.)",MANIPUR,18.9,9.9,7.1,163.0,1.0,1.66,0.0,35.0,2011
1014,THOUBAL RIVER AT LITAN (UKL DIST.),MANIPUR,21.0,6.1,7.6,163.0,4.5,1.66,0.0,25.0,2011
1015,"WANGJING RIVER AT HEIROK, DISTT. THOUBAL, MANIPUR",MANIPUR,22.5,5.1,6.9,170.0,2.5,1.66,0.0,10.0,2011
1016,"WANGJING RIVER AT WANGJING, DISTT. THOUBAL, MANIPUR",MANIPUR,23.0,3.8,7.0,192.0,3.0,1.66,0.0,23.0,2011
1017,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,24.4,7.8,7.2,139.0,1.9,0.56,263.0,359.0,2011
1018,"KHARKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,21.8,6.5,3.1,489.0,6.1,0.52,32.0,47.0,2011
1019,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,20.8,7.3,7.0,162.0,2.2,0.69,2085.0,2633.0,2011
1020,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,25.2,7.8,7.1,136.0,1.9,0.52,303.0,409.0,2011
1021,UMTREW AT BYRNIHAT EAST,MEGHALAYA,24.0,7.7,7.1,205.0,7.0,0.84,303.0,461.0,2011
1022,TLAWNG UPSTREAM AIZAWL,MIZORAM,23.4,8.1,7.1,267.0,1.0,0.11,2.0,12.0,2011
1023,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,23.4,8.0,7.0,278.0,1.1,0.11,3.0,18.0,2011
1024,TUIRIAL UPPER CATCHMENT,MIZORAM,23.2,6.9,7.2,268.0,1.1,0.11,6.0,37.0,2011
1025,TUIRIAL LOWER CATCHMENT,MIZORAM,23.3,6.8,7.1,286.0,1.3,0.11,8.0,29.0,2011
1026,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,28.4,6.6,7.8,149.0,1.8,1.66,209.0,340.0,2011
1027,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,28.6,6.3,8.0,164.0,3.4,0.3,380.0,528.0,2011
1028,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,28.5,6.6,7.9,196.0,4.4,0.8,425.0,648.0,2011
1029,"DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN ",DAMAN & DIU,29.9,5.6,7.5,15608.0,25.0,18.73,5.0,5.0,2010
1030,DAMANGANGA AT DISCHARG POINT DISTILLARY,DAMAN & DIU,29.9,3.7,7.5,39503.0,13.5,25.71,0.0,0.0,2010
1031,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,29.8,4.7,7.6,46170.0,21.5,19.69,0.0,0.0,2010
1032,"DAMANGANGA AT VAPI WEIR, VAPI",DAMAN & DIU,30.2,5.8,7.8,378.0,6.94,2.61,0.0,0.0,2010
1033,"DAMANGANGA AT LAVACHA TEMPLE, DADRA",DAMAN & DIU,29.7,6.6,7.7,489.0,6.94,2.66,350.0,350.0,2010
1034,"DAMANGANGA at D/s of M/s Surat Beverages, Dadra",DAMAN & DIU,30.1,6.6,7.4,492.0,6.94,3.6,0.0,0.0,2010
1035,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",DAMAN & DIU,30.3,6.2,7.8,359.0,6.94,3.67,4.0,0.0,2010
1036,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",DAMAN & DIU,29.8,5.8,7.7,8757.0,6.94,10.45,4.0,4.0,2010
1037,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,26.0,5.1,8.1,533.0,3.7,0.45,3900.0,7500.0,2010
1038,RIVER PURNA ON BRIDGE AT SURATNaNNAVSARI HIGHWAY,GUJARAT,27.0,7.1,8.0,555.0,2.0,0.35,7500.0,15000.0,2010
1039,RIVER KAVERI ON BRIDGE AT BILLIMORANaNVALSAD ROAD,GUJARAT,27.0,6.8,8.2,26600.0,3.1,0.62,9000.0,23000.0,2010
1040,RIVER DHADAR AT KOTHADA,GUJARAT,29.3,8.1,7.6,938.0,8.6,0.4,22.0,108.0,2010
1041,"AMBIKA AT BILIMORA, ",GUJARAT,28.4,6.2,7.8,7778.0,2.7,0.26,2880.0,6581.0,2010
1042,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,",GUJARAT,32.0,6.4,7.2,1440.0,46.0,0.2,80.0,330.0,2010
1043,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ",GUJARAT,28.3,3.2,7.7,885.0,6.3,0.51,3900.0,9575.0,2010
1044,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,0,29.3,6.6,6.5,58.0,1.8,0.87,0.0,53.0,2010
1045,ZUARI AT PANCHAWADI,0,28.8,6.6,6.6,145.0,1.5,0.65,4.0,98.0,2010
1046,MANDOVI AT NEGHBOURHOOD OF PANAJI,0,29.0,6.3,6.6,55.0,1.8,0.36,8.0,140.0,2010
1047,"MANDOVI AT TONCA, MARCELA",0,28.8,6.4,6.4,188.0,2.0,0.44,15.0,153.0,2010
1048,KALNA AT CHANDELNaN PERNEM,0,27.3,6.9,6.2,61.0,1.7,1.07,7.0,117.0,2010
1049,ASSONORA AT ASSONORA,0,28.3,7.2,6.1,62.0,2.6,0.92,8.0,123.0,2010
1050,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",0,29.0,6.9,6.6,154.0,1.9,0.83,17.0,173.0,2010
1051,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",0,27.6,7.0,6.3,742.0,1.6,0.42,8.0,139.0,2010
1052,KHANDEPAR AT OPA NaN PONDA,0,28.8,7.6,6.2,62.0,1.1,0.38,12.0,160.0,2010
1053,"KHANDEPAR AT CODLI NR BDG,U/S OPA WATERWORKS, SANGUEM",0,28.3,7.1,6.2,69.0,1.4,0.56,7.0,141.0,2010
1054,"KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",0,27.8,6.8,6.0,93.0,1.9,0.75,9.0,136.0,2010
1055,MADAI AT DABOS NaN  VALPOI,0,28.5,7.1,6.2,89.0,1.4,0.68,6.0,119.0,2010
1056,MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,0,28.1,6.3,6.2,110.0,1.5,0.59,8.0,157.0,2010
1057,"SAL PAZORKHONI, CUNCOLIM (NR CULVERT MARGAONaN CANACONA N.H.)",0,29.0,6.2,7.0,77.0,1.8,0.46,11.0,173.0,2010
1058,"SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",0,29.5,6.2,6.8,67.0,1.7,0.61,8.0,145.0,2010
1059,TALPONA AT CANACONA,0,30.2,6.9,6.5,62.0,1.4,0.6,10.0,107.0,2010
1060,VALVANT AT SANKLINaNBICHOLIM,0,28.3,6.7,6.2,62.0,0.9,0.57,8.0,187.0,2010
1061,"AMBA AT D/S OF WAKEN BDG U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",0,28.7,6.8,7.9,119.0,3.5,0.58,286.0,517.0,2010
1062,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),0,26.0,7.0,7.7,88.0,3.2,0.13,8.0,17.0,2010
1063,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",0,26.21,6.9,7.3,70.0,3.4,0.19,0.0,0.0,2010
1064,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",0,26.21,7.4,7.2,77.0,3.0,0.23,0.0,0.0,2010
1065,KALU AT ATALE VILLAGE,0,24.0,7.0,7.4,3113.0,4.0,2.16,95.0,350.0,2010
1066,"KAN NEAR SAKRI WATER WORKS, SAKRI, DHULE",0,32.1,5.5,8.1,363.0,8.4,2.15,16.0,69.0,2010
1067,KUNDALIKA AT ROHA CITY,0,30.3,6.9,7.5,86.0,3.6,0.4,316.0,582.0,2010
1068,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),0,30.1,6.4,7.4,621.0,37.8,1.79,413.0,728.0,2010
1069,"KUNDALIKA NEAR SALAV BDG (SALINA ZONE), SALAV, ROHA, RAIGAD",0,28.8,5.2,7.9,42354.0,9.5,1.1,126.0,253.0,2010
1070,"KUNDALIKA  AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",0,28.7,6.9,7.4,73.0,3.5,0.27,482.0,659.0,2010
1071,MITHI RIVER,0,29.0,3.4,7.4,17842.0,31.5,3.32,1767.0,1767.0,2010
1072,"MUCHKUNDI AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED, LANJA, RATNAGIRI",0,28.5,7.4,8.1,254.0,2.2,0.15,3.0,75.0,2010
1073,PATALGANGA AT SHILPHATA,0,27.7,6.7,7.4,125.0,3.7,0.4,514.0,820.0,2010
1074,PATALGANGA NEAR INTAKE OF MIDC W/W,0,28.6,6.6,7.5,129.0,3.9,0.4,129.0,381.0,2010
1075,"PATALGANGA AT D/S OF KHARPADA BDG, KHARPADA, KHALAPUR, RAIGAD",0,27.1,6.1,7.3,515.0,5.1,2.02,82.0,212.0,2010
1076,"PATALGANGA AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",0,27.1,6.6,7.4,122.0,3.6,0.46,172.0,361.0,2010
1077,"PATALGANGA AT KHALAPUR PUMPING STATION, RAIGAD",0,27.0,6.5,7.3,131.0,3.8,0.79,108.0,261.0,2010
1078,"PATALGANGA AT SAVROLI BDG, KHALAPUR. RAIGAD",0,26.8,6.7,7.3,130.0,3.4,0.57,133.0,318.0,2010
1079,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",0,26.8,6.6,7.4,95.0,3.7,0.53,147.0,217.0,2010
1080,"PEHLAR DAM ON PEHLAR RIVERNaNINLET OF WATER WORKS, VASAI, THANE",0,26.4,6.8,7.7,143.0,3.6,0.43,38.0,109.0,2010
1081,SAVITRI AT OVALE VILLAGE.,0,22.1,6.3,7.5,10825.0,2.9,1.93,5.0,101.0,2010
1082,"SAVITRI JACKWELL AT UPSA KENDRE, NaNGALWADI, MAHAD, RAIGAD",0,22.3,7.1,7.4,185.0,2.2,0.63,4.0,80.0,2010
1083,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",0,22.0,6.7,7.5,1439.0,2.5,1.47,4.0,113.0,2010
1084,"SAVITRI AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",0,22.0,6.6,7.5,185.0,2.4,0.3,6.0,113.0,2010
1085,"SAVITRI AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",0,22.0,6.7,7.8,3521.0,2.4,1.02,3.0,90.0,2010
1086,"SURYA U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",0,28.2,7.1,7.7,193.0,3.1,0.53,41.0,92.0,2010
1087,"SURYA AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",0,28.2,7.1,7.9,175.0,3.1,0.47,31.0,86.0,2010
1088,"SURYA RIVER AT INTAKE OF VASAINaNVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",0,28.3,7.1,7.8,174.0,3.3,0.44,33.0,83.0,2010
1089,"TANSA NEAR ROAD BDG, VILL DAKEWALI, WADA, THANE",0,26.21,7.2,7.5,308.0,4.0,0.15,0.0,0.0,2010
1090,ULHAS AT U/S OF NRC BUND AT MOHANE,0,26.3,6.4,7.7,153.0,3.6,0.77,504.0,592.0,2010
1091,ULHAS AT U/S OF BADLAPUR,0,26.1,7.0,7.7,111.0,3.4,0.42,179.0,359.0,2010
1092,ULHAS RIVER ATJAMBHUL WATER WORKS.,0,26.0,6.6,7.6,209.0,3.4,0.68,97.0,243.0,2010
1093,"VAITARNA NR RD BDG, GANDHARE VILL., WADA, THANE",0,26.21,7.5,8.2,296.0,3.5,0.14,0.0,0.0,2010
1094,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,0,27.6,6.9,7.5,119.0,2.2,0.42,2.0,71.0,2010
1095,"VASHISHTI AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",0,27.6,6.8,7.7,116.0,2.3,1.33,3.0,74.0,2010
1096,"VASHISHTI AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",0,27.3,7.0,7.7,118.0,2.1,0.5,3.0,64.0,2010
1097,PERIYAR NEAR ALWAYENaNELOOR,0,27.4,5.2,6.6,453.0,1.5,0.38,644.0,4613.0,2010
1098,PERIYAR AT KALADY,0,27.3,7.2,6.8,35.0,1.1,0.24,513.0,3483.0,2010
1099,CHALIYAR AT KOOLIMADU,0,26.0,7.0,7.1,62.0,0.5,0.44,385.0,617.0,2010
1100,CHALIYAR AT CHUNGAPALLY,0,26.2,7.0,7.1,5228.0,0.6,0.34,240.0,455.0,2010
1101,"KALLADA AT PERUMTHOTTA MKADAVU, PUNALOOR",0,27.5,7.2,7.0,51.0,0.6,0.26,285.0,522.0,2010
1102,MUVATTAPUZHA AT VETTIKKATTUMUKKU,0,28.1,6.7,6.9,62.0,1.2,0.46,385.0,2193.0,2010
1103,CHALAKUDY AT PULICKALKANaNDAVU,0,28.2,6.5,6.5,118.0,1.1,0.52,610.0,3080.0,2010
1104,KARAMANA AT MOONNATTUMUKKU,0,27.6,0.6,7.0,1787.0,14.1,1.49,8542.0,17500.0,2010
1105,PAMBA AT CHENGANNUR,0,28.0,6.6,6.8,49.0,0.9,0.56,448.0,913.0,2010
1106,KABBANI AT MUTHANKARA,0,24.3,6.8,7.3,67.0,0.6,0.4,598.0,935.0,2010
1107,BHAVANI AT ELACHIVAZHY,0,25.8,7.3,7.4,104.0,0.6,0.44,245.0,430.0,2010
1108,PERIYAR AT SEWAGE DISCHARGE POINT,0,27.8,6.5,6.7,39.0,1.2,0.26,562.0,4823.0,2010
1109,MEENACHIL AT KIDANGOOR,0,26.3,7.2,6.5,45.0,0.9,0.46,1225.0,1825.0,2010
1110,MANIMALA  AT KALLOOPARA,0,28.5,7.4,6.9,65.0,0.9,0.56,575.0,1455.0,2010
1111,PAMBA AT THAKAZHY,0,29.3,6.5,6.5,60.0,1.0,1.62,420.0,900.0,2010
1112,ACHENKOIL AT THUMPAMON,0,27.6,6.6,6.9,57.0,0.9,0.37,319.0,650.0,2010
1113,MANIMALA AT THONDRA,0,28.1,7.1,7.0,84.0,1.0,0.66,985.0,1485.0,2010
1114,VAMANAPURAM,0,27.8,7.5,6.8,56.0,1.3,0.6,178.0,540.0,2010
1115,ACHENKOIL AT CHENNITHULA,0,28.1,5.4,6.7,100.0,0.9,0.42,463.0,810.0,2010
1116,AMARAVILA,0,26.6,7.0,6.9,66.0,0.7,0.45,465.0,900.0,2010
1117,AYUR,0,27.8,7.1,6.9,75.0,0.6,0.73,300.0,583.0,2010
1118,PAMBA DOWN,0,29.3,6.5,6.7,70.0,0.9,1.25,370.0,800.0,2010
1119,THIRURANGADY,0,28.0,6.7,6.6,102.0,0.8,0.12,295.0,900.0,2010
1120,KUTTIYADY ESTATE,0,23.8,7.1,6.8,27.0,0.6,0.22,86.0,198.0,2010
1121,VALAYAM,0,26.3,6.9,7.1,46.0,0.5,0.33,225.0,373.0,2010
1122,THALIPARAMBA,0,27.9,6.7,6.8,8291.0,1.0,0.53,108.0,250.0,2010
1123,HOSDURG,0,28.4,6.2,7.0,12342.0,1.4,0.27,670.0,1600.0,2010
1124,"KAKKADAVU,  KERALA",0,27.1,7.5,7.3,53.0,0.8,0.31,1253.0,2225.0,2010
1125,PADIYATHADKA,0,28.5,7.6,7.3,62.0,1.0,0.63,1175.0,2180.0,2010
1126,IRUMPANAM,0,28.1,2.2,6.4,625.0,2.3,1.29,1125.0,6505.0,2010
1127,R NEYYAR AT ARUVIPURAM,0,26.4,7.4,6.7,55.0,0.7,0.51,281.0,1088.0,2010
1128,R MAMOM AT MAMOM BRIDGE,0,27.1,7.0,6.8,103.0,0.7,0.43,225.0,640.0,2010
1129,R AYROOR AT AYROOR BRIDGE,0,26.9,5.3,6.9,109.0,1.3,0.66,305.0,685.0,2010
1130,R ITHIKKARA AT ITHIKKARA,0,28.6,6.3,7.0,1392.0,0.7,0.85,230.0,535.0,2010
1131,PALLICKAL AT NELLIMUKAL,0,27.9,6.7,7.0,71.0,0.5,0.29,208.0,433.0,2010
1132,R KARUVANNURR AT KARUVANNUR BRIDGE,0,28.4,6.0,6.4,57.0,1.4,0.61,193.0,303.0,2010
1133,PUZHACKAL AT PUZHACKAL BRIDGE,0,29.0,4.2,6.6,93.0,1.7,0.56,253.0,385.0,2010
1134,R KEECHERI AT VADAKKANCHERY BRIDGE,0,28.8,5.1,6.7,88.0,1.9,0.63,405.0,713.0,2010
1135,R THIRUR AT THALAKKADATHUR BRIDGE,0,27.8,5.3,6.4,4912.0,1.1,0.11,345.0,788.0,2010
1136,R KADALUNDI AT HAJIRAPPALLY,0,28.5,6.9,7.0,84.0,0.9,0.08,300.0,803.0,2010
1137,R KALLAI AT KALLAI BRIDGE,0,26.0,2.8,7.4,18256.0,1.6,0.47,1050.0,2300.0,2010
1138,CORAPUZHA AT KANAYANKODE,0,26.5,5.3,7.2,9753.0,0.9,0.26,1600.0,2650.0,2010
1139,R THALLASSERY AT PATHIPPALAM,0,28.4,6.5,5.8,67.0,0.4,0.54,123.0,520.0,2010
1140,ANCHARAKANDY AT MERUVAMBA,0,28.1,6.9,6.1,86.0,0.6,0.49,73.0,183.0,2010
1141,R KUPPAM AT RAYAROM,0,26.8,7.0,6.6,59.0,0.8,0.42,123.0,418.0,2010
1142,RAMAPURAM AT RAMAPURAM BRIDGE,0,28.6,5.6,6.4,7904.0,1.0,0.4,165.0,278.0,2010
1143,PERUVAMBA AT CHANDAPPURA,0,28.1,6.8,6.0,55.0,0.5,0.25,590.0,910.0,2010
1144,R KAVVAI AT KUTTIYOL PALAM,0,29.0,6.0,5.9,105.0,1.0,0.63,73.0,195.0,2010
1145,NEELASWARAM AT NAMBIARKAL DAM,0,28.8,6.3,7.0,2759.0,1.4,0.22,963.0,1400.0,2010
1146,NAGAVALLI AT THOTAPALLI REGULATOR,0,28.0,6.5,7.6,312.0,1.1,2.41,3.0,354.0,2010
1147,"VAMSHADHARA, KALINGAPATNAM, VIZIANAGARAM",0,27.4,6.4,7.7,203.0,1.1,3.34,3.0,357.0,2010
1148,KALI AT D/S WEST COAST PAPER MILL,0,28.8,7.3,7.3,308.0,4.2,2.43,116.0,185.0,2010
1149,"RUSHIKULYA AT GANJAM D/S, ",0,30.8,6.8,7.8,23761.0,1.9,0.67,145.0,460.0,2010
1150,"NAGAVALLI AT JAYKAYPUR D/S, ",0,28.0,7.5,8.1,228.0,2.1,0.4,3390.0,5850.0,2010
1151,"NAGAVALLI AT RAYAGADA D/S, ",0,27.3,7.7,8.1,243.0,1.6,0.71,1930.0,4450.0,2010
1152,"PENTA U/S, JAYKAYPUR TOWN",0,29.0,7.6,7.9,191.0,1.4,0.13,1188.0,1985.0,2010
1153,"BUDHABALANGA, D/S OF BARIPADA TOWN",0,24.5,7.5,7.9,237.0,1.8,0.45,1225.0,2425.0,2010
1154,BUDHABALANGA AT BALASORE D/S,0,24.8,7.4,7.7,865.0,1.9,0.3,1300.0,2675.0,2010
1155,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",0,25.3,6.7,6.9,132.0,1.2,0.32,953.0,1823.0,2010
1156,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),0,26.8,7.1,7.9,211.0,1.4,0.48,1065.0,2098.0,2010
1157,GUNUPUR (INTERSTATE BOUNDRY),0,29.0,6.7,7.9,182.0,1.1,0.24,735.0,1510.0,2010
1158,GAUTAMINaNGODAVARI RIVER,0,29.0,7.4,8.8,434.0,2.0,0.05,0.0,0.0,2010
1159,GAUTAMINaNGODAVARI RIVER,0,28.0,6.4,8.3,565.0,2.0,0.05,0.0,0.0,2010
1160,CORINGA RIVER,0,28.0,6.9,8.8,238.0,4.0,0.05,0.0,0.0,2010
1161,MAHE RIVER,0,28.0,6.3,6.6,425.0,6.94,1.66,0.0,0.0,2010
1162,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,0,24.8,7.4,7.0,75.0,1.6,0.05,78.0,118.0,2010
1163,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",0,27.2,7.2,6.8,70.0,1.8,0.09,78.0,148.0,2010
1164,"TAMBIRAPARANI AT TIRUNELVELI, COLLECTORATE.",0,27.3,6.6,7.0,119.0,2.5,0.33,233.0,374.0,2010
1165,TAMBIRAPARANI AT MURAPPANADU,0,28.4,6.9,7.0,236.0,1.9,0.25,83.0,157.0,2010
1166,TAMBIRAPARANI AT PAPPANKULAM,0,26.8,7.0,6.9,73.0,1.7,0.4,87.0,144.0,2010
1167,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,0,25.2,7.2,6.9,75.0,1.5,0.2,83.0,128.0,2010
1168,TAMBIRAPARANI AT ARUMUGANERI,0,28.4,6.9,7.2,385.0,2.3,0.13,108.0,196.0,2010
1169,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,0,28.2,6.4,7.6,860.0,3.3,0.4,253.0,379.0,2010
